,Pattern Name,Implementation,Primary pressure mechanic,Secondary pressure mechanic,Potential harm / consequence,Definition/Description,Examples,Mitigation Strategies,Mostly servicing gameplay ,Servicing both gameplay & business,Mostly servicing business purposes
,Loot boxes / gacha,"Players spend real money (often via an intermediate premium currency) for a randomised draw. Variable-ratio reinforcement and near-miss framing encourage repeat purchases, and 'pity' counters extend the spend cycle.",Monetary,N/A,"Financial, Emotional / psychological","Paid, randomised reward containers whose contents — and often whose odds — are unknown before purchase.",Gacha 'banners' in mobile RPGs with rate-up characters; Card or skin packs bought with premium currency; Sports-title player packs in 'ultimate team' modes,,,X,
,Hidden / undisclosed odds,"Drop rates are omitted, hidden in submenus, or stated in ways players cannot verify, so the true expected value of a purchase is unknowable at the point of sale.",Monetary,N/A,"Financial, Autonomy / choice","The probability of outcomes in a paid randomised reward is withheld, buried, or hard to verify.","A loot box that lists items but not their drop rates; Odds shown only in an external web page, not in the purchase flow",,,,X
,Premium-currency obfuscation,"Purchases are denominated in gems/coins sold in bundles that never quite match item prices, leaving stranded balances and obscuring the real cost of any single item.",Monetary,N/A,Financial,Real money is converted into in-game currency at non-round ratios that break the player's price intuition.,"Buying 1,000 gems for a 1,200-gem item, forcing another purchase; Multiple stacked currencies (coins, gems, tickets)",,,,X
,Bundle anchoring & decoys,"An overpriced top tier and a token bottom tier make the target mid-tier look rational, while leftover balances nudge the next purchase.",Monetary,N/A,Financial,Tiered packs are priced to steer players toward a 'best value' middle option through anchoring and decoys.,Starter / Value / Mega coin packs where 'Value' is the obvious pick; Limited 'bundle' deals that bundle in unwanted items,,,,X
,Pay-to-win,"Players can buy items, stats, or progression that materially affect competitive outcomes against non-paying players.",Monetary,N/A,"Competitive fairness, Financial","Purchasable power converts money into competitive advantage, undermining the implicit contract of skill.",Buyable best-in-slot gear in competitive PvP; Paid stat boosts that decide ranked matches,,,,X
,Pay-to-skip / engineered grind,"Designers tune progression to be tedious, then offer paid shortcuts; the 'problem' and the 'solution' are both manufactured.",Monetary,N/A,"Time / attention, Financial",Progression is deliberately slowed so the game can sell time-savers that remove the friction it introduced.,Doubled XP or instant-build offers after a deliberately slow curve; Resource caps that make the free path impractical,,,X,
,FOMO / limited-time offers,"Limited-time banners, expiring bundles, and countdown timers manufacture a fear of missing out that shortcuts deliberation.",Monetary,N/A,Financial,Artificial scarcity and urgency pressure players into purchases before a countdown expires.,'Only today!' starter bundles for new players; Rotating limited banners tied to events,,,,X
,Monetising basic quality-of-life,"Basic conveniences — extra inventory, auto-collect, faster menus — are withheld and sold back as upgrades.",Monetary,N/A,Financial,The game charges to remove friction that the game itself introduced.,Paid inventory expansions in games with deliberately tiny default storage; Selling an 'auto-play' for a grindy loop,,,,X
,Bait-and-switch / product not as expected,"Ads or store pages depict gameplay, characters, or value that the installed product does not contain.",Monetary,N/A,"Financial, Emotional / psychological",The advertised content or experience differs materially from what is actually delivered.,Ads showing a puzzle minigame that barely appears in the real game; Store screenshots not representative of actual play,,,,X
,Predatory / forced advertising,"Players must watch ads to continue or to claim rewards, and ads are often styled to look like gameplay, especially in children's titles.",Monetary,N/A,"Time / attention, Financial",Unskippable or rewarded ads — sometimes disguised as content — are bundled into progression.,Mandatory ad before each level retry; An 'ad' that mimics the game's own UI,,,,X
,Accidental-purchase / default-to-purchase UI,"Buy buttons sit where 'continue' usually is, confirmation is minimal, and stored payment makes a tap a charge.",Monetary,N/A,"Financial, Autonomy / choice","Purchase is the default or easily mis-tapped path, so spending happens without express, informed consent.",A 'claim reward' button that actually buys currency; One-tap purchases with no meaningful confirmation,,,,X
,Subscription / battle-pass traps,"Battle passes and subscriptions create loss-averse commitment: progress and rewards are time-boxed, and cancelling is harder than subscribing.",Monetary,N/A,"Financial, Time / attention","Easy entry and obstructed cancellation, with 'earned' value that expires if you stop paying or playing.",A season pass whose unspent tiers vanish at reset; Subscriptions easy to start but buried to cancel,,,X,
,Grinding / engineered repetition,Reward curves are tuned so meaningful progress requires large amounts of repetitive activity.,Temporal,N/A,"Time / attention, Financial",Repetitive effort is inflated to extend play or to drive pay-to-skip purchases.,Hundreds of identical runs for one upgrade; XP curves that flatten right before a paywall,,,X,
,Energy / wait timers (appointment mechanics),"An energy/lives meter depletes and refills on a real-world clock, prompting players to return on the game's schedule or pay to continue.",Temporal,N/A,"Time / attention, Financial",Play is gated by real-time cooldowns that can be bypassed for money.,Five 'lives' that refill one per 30 minutes; Timed building/crafting that costs gems to finish now,,,X,
,Daily login / streaks,"Consecutive-day rewards grow, and breaking the streak resets them — turning a habit into an obligation.",Temporal,N/A,"Time / attention, Emotional / psychological",Escalating rewards and loss-aversion penalties punish missing a day.,A 30-day reward calendar that resets on a single miss; Streak counters with escalating bonuses,,,X,
,Time fog / playtime opacity,"The interface omits clocks, session timers, or stopping cues, keeping the player in a timeless flow.",Temporal,N/A,Time / attention,Elapsed time and session length are concealed so players lose track of how long they have played.,No in-game clock or session timer; Seamless level chaining with no natural stop,,,,X
,Interruptible-but-sticky loops,"The next round, reward, or item loads automatically, removing the friction that would prompt a player to stop.",Temporal,N/A,Time / attention,Auto-advancing or endless content resists natural stopping points.,Auto-queue into the next match; Continuous reward feeds with no end screen,,,X,
,Social obligation / guilt,"Shared goals, guild quotas, or co-op stakes make stepping away feel like letting others down.",Social,N/A,"Social / relational, Emotional / psychological",The design leverages teammates' dependence to compel continued play or spending.,Guild contribution quotas with penalties; Co-op events where dropping out hurts friends,,,X,
,Parasocial-character pressure,"A trusted mascot pleads, looks sad, or rewards the player for spending, leveraging the emotional bond — especially powerful with children.",Social,N/A,"Emotional / psychological, Financial","Beloved characters urge purchases or continued play, exploiting parasocial attachment.",A sad mascot asking the child not to leave; A character who 'gives a gift' that opens the store,,,,X
,Gifting / invitation spam (social pyramid),"Rewards or gating require inviting contacts, sharing, or gifting, turning the player into a distribution channel.",Social,N/A,"Social / relational, Data / privacy",Progress is tied to recruiting or pestering friends.,'Invite 3 friends to unlock'; Daily gift-spam to a contact list,,,,X
,Impersonation / disguised system-as-friend,"Automated prompts are framed as if a friend or another player sent them, borrowing social trust.",Social,N/A,"Autonomy / choice, Emotional / psychological",System messages are styled to look like communication from a peer.,A 'message' from a fake teammate urging a purchase; NPC framed as a real co-player,,,,X
,Monetised social status,"Cosmetics, badges, or ranks that signal spending are made visible to others, turning social comparison into a sales driver.",Social,N/A,"Social / relational, Financial",Visible status is sold to exploit peer comparison and the desire to belong.,Conspicuous paid skins that mark non-payers; Leaderboards that reward spending visibly,,,X,
,Variable-ratio reward / near-miss,"Rewards arrive on an unpredictable schedule, and near-miss outcomes are highlighted to imply success was close.",Psychological,N/A,"Emotional / psychological, Financial",Slot-machine-like reinforcement and 'almost won' framing drive repeated attempts.,A pull that lands just short of the rare item; Reels or spins that frequently show near-wins,,,X,
,Sunk-cost / entrapment,"Progress, collections, or partial purchases are framed so quitting feels like wasting what is already invested.",Psychological,N/A,"Financial, Time / attention",Designs make prior investment justify further spending or time.,'You're 80% to the prize — keep going'; Collections that feel wasteful to abandon,,,X,
,Illusion of control / skill framing,"Stop buttons, 'pick a box', or timing flourishes imply agency over results that are actually random.",Psychological,N/A,Financial,Chance outcomes are presented as if skill or choice could influence them.,A 'tap to stop' wheel whose result is predetermined; Choose-your-box reveals over fixed odds,,,,X
,Aesthetic / sensory manipulation,"Lights, fanfares, and animations amplify every reward — sometimes even net-loss outcomes — to feel like a win.",Psychological,N/A,"Financial, Emotional / psychological",Celebratory audio-visual feedback reinforces spending and reward moments.,Big celebratory effects for a low-value pull; Fanfare on a 'win' that cost more than it returned,,,X,
,Aggressive nagging / interruptive upsell,"Interruptive prompts surface offers on launch, between levels, and at idle moments, wearing down resistance.",Psychological,N/A,"Time / attention, Financial",Frequent pop-ups repeatedly steer the player to the store.,A store pop-up every time you open the app; Offers interrupting the flow between levels,,,,X
,Hidden costs,"Additional charges, currency conversions, or requirements appear only after the player is committed.",Informational,N/A,Financial,"The true cost of a purchase is revealed late, or never.",A 'free' item that needs paid currency to use; Costs that surface only at the final step,,,,X
,Confirmshaming,"The decline button is phrased to make saying no feel foolish or shameful ('No thanks, I hate saving money').",Informational,N/A,"Autonomy / choice, Emotional / psychological",Opt-out wording is laden with guilt to discourage the protective choice.,"'No, I don't want to get stronger' to decline an offer; Guilt-worded unsubscribe prompts",,,,X
,Misdirection / false visual hierarchy,"Color, size, and placement make the spend or opt-in button dominant while the alternative is muted.",Informational,N/A,"Autonomy / choice, Financial",Visual salience steers the player toward the provider-preferred option.,A bright 'Buy' button beside a greyed-out 'No'; Pre-highlighted most-expensive option,,,,X
,Obstructed exit / cancellation (sludge),"Cancellation is buried, multi-step, or routed through obstacles, while signup is one tap.",Informational,N/A,"Financial, Time / attention, Autonomy / choice","Asymmetric friction makes quitting, refunding, or disabling far harder than starting.",Refund links hidden deep in settings; Cancellation that demands multiple confirmations and waits,,,,X
,Disguised ads / content,"Advertising is camouflaged within the game's own visual language, blurring the line between content and commerce.",Informational,N/A,"Financial, Autonomy / choice",Ads are styled as gameplay or rewards so the player cannot tell promotion from play.,A 'reward' button that opens an ad/store; Ad banners drawn to look like collectible items,,,,X
,Value obfuscation / false narratives,"Inflated 'original' prices, fake discounts, or vague yields make purchases look more valuable than they are.",Informational,N/A,Financial,What a purchase actually yields is misrepresented through framing or false comparison.,'80% off' against a price never charged; Bundles whose stated value double-counts items,,,,X
,Power creep,"Each new release — characters, gear, cards — is stronger than the last, so the value of earlier purchases steadily decays and players must keep buying the newest tier to stay effective.",Monetary,N/A,"Financial, Competitive fairness","Continually releasing more powerful paid items so previously bought ones become obsolete, pressuring repeat purchases to keep up.",Gacha RPGs where new banner units outclass older ones; Card games that print a stronger set each season; Sports titles whose new player items outshine last year's,,,X,
,Pay-for-early-access,"New items or updates release first to payers (or pass-holders) and only later to everyone else; in competitive games this confers a temporary edge, and everywhere it leverages FOMO and status.",Monetary,N/A,"Financial, Competitive fairness, Autonomy / choice","Selling early access to content, weapons, or updates so patience becomes a purchasable advantage.",Early weapon unlocks in live-service shooters; Battle-pass “early access” tiers; Pre-release character bundles,,,,X
,Creator tipping & crowdfunded content,"Platforms enable tips, creator subscriptions, or backer crowdfunding for features and exclusive items, often for goods that are unreleased or perpetually in development; “support the creator” framing and exclusive-backer rewards add FOMO.",Monetary,N/A,"Financial, Social / relational, Autonomy / choice","Routing real money to creators or crowdfunding unreleased content, where prosocial “support” framing lowers price scrutiny.",In-platform creator tipping and commissions on UGC platforms; Crowdfunded ships or items for unreleased games; Paid creator-subscription perks,,,,X
,Can't pause or save,"Sessions can't be paused or saved midway, multiplayer or timed modes penalise leaving, and some persistent games let others raid your base while you're offline and then sell “protection.” Stopping carries a real penalty.",Temporal,N/A,"Time / attention, Autonomy / choice, Emotional / psychological","Designs that prevent safely stopping — no pause or save, or progress lost (or attacked) when you leave — so players can't quit on their own terms.",Roblox experiences with no mid-session save; Match or raid modes that punish quitting; Base-builders where you're raided offline unless you buy a shield,,,X,
,Content treadmill,"Live-service games add content on a fixed cadence so the game is never “finished”; combined with seasonal and limited-time framing, disengaging feels like permanent loss.",Temporal,N/A,"Time / attention, Autonomy / choice, Financial","A relentless cadence of new seasons, stories, and limited updates keeps players returning so they never fall behind an ever-moving target.",Seasonal storylines in live-service shooters; Roughly ten-week content refreshes; Expansion cadences that reset the meta,,,X,
,Reciprocity,"The game or other players send unsolicited gifts or help, triggering the reciprocity norm so the recipient feels obliged to reciprocate with time, money, or invitations.",Social,N/A,"Social / relational, Financial, Autonomy / choice","Giving the player or their friends a free gift to create a felt obligation to give back — by spending, playing, or recruiting.",Free “gifts” that prompt a return purchase; Guild help that obliges reciprocation; Daily gifting chains between friends,,,,X
,Encourages anti-social behaviour,"Competitive incentives, unmoderated interaction, and reward structures that favour dominance can make harassment, griefing, or exclusion a route to status or progress.",Social,N/A,"Social / relational, Emotional / psychological","Designs that reward or normalise toxic, aggressive, or anti-social behaviour in order to drive engagement.",Reward systems that incentivise griefing; Unmoderated voice and chat tied to competitive pressure; Status earned by humiliating others,,,,X
,Manufactured competition,"Ranked ladders, periodically reset leaderboards, and visible rivalries pressure players to keep grinding — or paying — to climb or to avoid dropping.",Social,N/A,"Social / relational, Financial, Competitive fairness","Leaderboards, resetting ranks, and rivalry framing turn social comparison into a driver of compulsive play and spending.",Seasonal ranked resets with exclusive rewards; Friend leaderboards on idle and mobile games; Buyable rank boosts,,,X,
,Licensed-IP collaboration FOMO,"The game partners with a real-world IP — films, anime, musicians — for limited-time themed items or events; external fandom plus “only now” scarcity creates urgency independent of in-game utility.",Social,N/A,"Financial, Emotional / psychological, Autonomy / choice",Time-limited cosmetics tied to a popular external brand or franchise drive purchases through fandom and scarcity rather than gameplay value.,Franchise crossover skins from films or comics; Anime collaboration banners; Music-artist in-game events,,,,X
,Involuntary social ranking / identity labels,"Interaction frequency, message history, gifting, guild activity, or proximity data are converted into labels and ranks such as best friend, mutual best friend, top supporter, inner circle, or a position in another person's social orbit. The label can feel authoritative even when the metric is partial, private, volatile, or poorly explained.",Social,N/A,"Social / relational, Emotional / psychological, Autonomy / choice, Data / privacy","The system assigns relationship labels, closeness ranks, or social-cluster positions to people from behavioural data they did not choose to make socially meaningful.","Snapchat Friend Solar Systems ranking a user as a planet in someone else's Best Friends list; Automatic friend emojis that label best friends, mutual besties, or streak status; Game friend leaderboards that rank closeness by gifts, messages, or co-play; Guild or creator-community tiers that publicly mark insiders and outsiders",,,X,
,Endowed progress,"Progress bars start pre-filled, badges show “almost there,” and tracked partial completion exploits the endowed-progress and Zeigarnik effects to compel finishing.",Psychological,N/A,"Time / attention, Financial, Emotional / psychological",Giving players an artificial head-start or visible partial progress so the urge to complete it pulls them onward.,Pre-stamped “loyalty” progress; Battle-pass tiers shown most of the way done; Badge grids with conspicuous gaps,,,X,
,Collection & completionism pressure,"The game surfaces sets with conspicuous empty slots, exploiting completion psychology; missing entries are often gated behind grind, limited-time windows, or gacha.",Psychological,N/A,"Time / attention, Financial, Autonomy / choice, Emotional / psychological","A visible, incomplete collection — roster, index, grid — compels players to keep playing or paying to complete the set.",Creature or character indexes with rare gaps; Unlock grids completed via gacha; Limited-time “complete the collection” events,,,X,
,Optimism & frequency bias,"Celebratory feedback for wins, salient near-misses, and broadcast of others' rare successes make good outcomes feel more frequent and likely than they actually are.",Psychological,N/A,"Financial, Emotional / psychological","Framing that inflates perceived chances of winning — emphasising wins and near-misses, downplaying losses — to exploit optimism and frequency illusions.",“So close!” near-miss reels; Server-wide announcements of rare wins; Highlighting wins while hiding the misses,,,,X
,Fake social proof,"The interface shows invented or unverifiable activity, purchase counts, or “players online” figures to imply popularity and manufacture trust and urgency.",Informational,N/A,"Financial, Autonomy / choice","Fabricated or unverifiable signals of others' activity — “1M players bought this!”, fake live counters — used to pressure decisions.",Fake “X people are viewing or buying this” counters; Inflated player-count or popularity badges; Bogus testimonial pop-ups,,,,X
,Comparison prevention,"Currencies, bundle contents, and shifting offers are structured so equivalent options can't be lined up side by side; like-for-like comparison is obstructed.",Informational,N/A,"Financial, Autonomy / choice","Making it hard to compare prices, odds, or options so players can't judge value.",Bundles priced in mismatched currencies; No way to compare odds or value across packs; Offers that change before you can compare them,,,,X
,Offer-wall / cross-promotion redirection,"An “offer wall” sends the player to a secondary product to install, play, or purchase; an intermediary SDK verifies completion and grants premium currency in the original game.",Informational,N/A,"Financial, Time / attention, Data / privacy, Autonomy / choice","Dangling an in-game reward for going to another app or game and spending money or time there, confirmed by a third-party tracker.",“Earn free gems” offer walls; Install-and-spend cross-promotions; Rewards for watching external streams,,,,X
,Personalised spend-optimisation,"Dynamic systems informed by play and purchase history adjust what each player sees — offers, “frustration → sell-a-fix” difficulty, or matchmaking that surrounds them with spenders — optimised per person to increase spend, invisibly.",Informational,N/A,"Financial, Data / privacy, Autonomy / choice, Competitive fairness, Emotional / psychological","Silently using a player's behavioural data to tune offers, prices, odds, difficulty, or matchmaking to maximise that individual's spending.",Behaviour-tuned offers and dynamic pricing; Difficulty tuned to sell a fix; Matchmaking that normalises spending,,,,X
,Trick wording / misleading copy,"Button labels, toggles, prompts, or shop copy are phrased so a quick scan suggests one meaning while the actual consequence is different. In games this can attach purchases, data sharing, notifications, account linking, or unwanted difficulty and matchmaking choices to wording that looks harmless or protective.",Informational,N/A,"Autonomy / choice, Financial, Data / privacy","Confusing, ambiguous, or expectation-violating wording makes the player take an action they did not mean to take.","A claim button that quietly spends premium currency rather than collecting a free reward; Double-negative consent toggles for tracking, notifications, or personalised offers; A decline option worded so it appears to reject a penalty but actually accepts one; Quest or event copy that hides a required ad watch, account link, or purchase behind vague wording",,,,X
,Bad defaults / preselection,"Settings, purchase confirmations, account-linking prompts, or privacy choices ship with the risky option preselected. The player must notice and actively undo the default, often while trying to continue play.",Informational,N/A,"Autonomy / choice, Financial, Data / privacy","The provider-preferred option is already selected or treated as the normal path, so inaction becomes consent, spending, or data sharing.",A paid bundle tier preselected in a shop modal; Personalised offers or tracking enabled by default; Auto-renewal or notifications preselected during account linking; A default matchmaking or social-visibility setting that exposes more than expected,,,,X
,Choice overload / option flooding,"A shop, event screen, or settings flow presents dense, shifting, and partially incomparable options. The resulting cognitive load makes the default, highlighted, or most urgent option more likely to be accepted.",Informational,N/A,"Autonomy / choice, Financial, Time / attention","The interface floods the player with too many overlapping options, currencies, bundles, settings, or offers to compare meaningfully.",A live-service shop with dozens of time-limited bundles and currencies; Settings split across many screens with repeated prompts to accept the default; Event reward screens with many exchange rates and upgrade paths; A consent or account-linking flow with dense toggles and unclear tradeoffs,,,,X
,Forced registration / data disclosure,"The game blocks or degrades functionality until the player registers, links a platform account, grants contact permissions, uploads age or identity data, or shares friend-network data. The request is framed as necessary even when the data primarily benefits growth, advertising, analytics, or cross-platform tracking.",Informational,N/A,"Data / privacy, Autonomy / choice, Social / relational","Access to play, rewards, or social features is made conditional on creating an account, linking an identity, or sharing unnecessary personal or contact data.",A game reward gated behind linking a social account; Contact-list access framed as necessary to find friends; UGC access that requires unnecessary profile or identity data; Friend-invite flows that collect contacts before clearly explaining how they will be used,,,,X
,Language inaccessibility / complex copy,"Disclosures use legalistic, technical, untranslated, or age-inappropriate wording while the action button remains simple and salient. The result is a consent or purchase flow that appears transparent but is not intelligible to the affected player.",Informational,N/A,"Autonomy / choice, Financial, Data / privacy","Important purchase, privacy, odds, or consent information is presented in language the player cannot reasonably understand.",Loot-box odds or subscription terms written in dense legal language; Tracking or personalised-offer consent shown only in the wrong language; Child-facing purchase prompts with adult legal vocabulary; Account-linking terms hidden behind untranslated platform jargon,,,,X
,Feedforward ambiguity / unclear consequences,"Labels, icons, animations, or placement suggest one outcome while the actual outcome is different or materially more consequential. Unlike broad trick wording, the problem is the missing or misleading feedforward cue about what will happen next.",Informational,N/A,"Autonomy / choice, Financial, Emotional / psychological","The interface fails to make clear what a button, prompt, or action will actually do before the player commits.",A glowing 'open' affordance that consumes premium currency without saying so; A reroll button that spends a rare item without previewing the cost; A social-share icon that posts publicly rather than opening a private invite; A claim prompt that starts a timed event instead of merely collecting a reward,,,,X
